KR 260 Robotics Kit,1,abc,abc,A robotic arm kit for educational purposes.,"$2,500",TRUE,15,NULL,NULL,"[Null,Null]"
Xilinx PYNQ Z2,1,abc,abc,A Python-based FPGA board for AI development.,$120,TRUE,15,NULL,NULL,"[Null,Null]"
Xilinx PYNQ ZU,1,abc,abc,An advanced Python-based FPGA board.,$250,TRUE,15,NULL,NULL,"[Null,Null]"
Intel Neural Compute Stick 2,1,abc,abc,Accelerates AI computations at the edge.,$85,TRUE,15,NULL,NULL,"[Null,Null]"
VVDN-JXN-NX Jetson,1,abc,abc,A developer kit for AI and deep learning.,$300,TRUE,15,NULL,NULL,"[Null,Null]"
Wave-Share Lora-Hat,1,abc,abc,A Lora expansion hat for Raspberry Pi.,$30,TRUE,15,NULL,NULL,"[Null,Null]"
Y Lidar,1,abc,abc,A Lidar sensor for distance measurement.,$100,TRUE,15,NULL,NULL,"[Null,Null]"
Intel Realsense Lidar,1,abc,abc,A high-resolution Lidar sensor.,$190,TRUE,15,NULL,NULL,"[Null,Null]"
HiRes Pi Camera w/ lens,1,abc,abc,A high-resolution camera module for Raspberry Pi.,$25,TRUE,15,NULL,NULL,"[Null,Null]"
Pi Camera,1,abc,abc,A basic camera module for Raspberry Pi.,$15,TRUE,15,NULL,NULL,"[Null,Null]"
Tau Onion Lidar,1,abc,abc,A compact Lidar sensor for IoT and robotics.,$100,TRUE,15,NULL,NULL,"[Null,Null]"
Ti CC 3200 Launchpad,1,abc,abc,A development kit for IoT applications.,$30,TRUE,15,NULL,NULL,"[Null,Null]"
Ti CC 2650 Launchpad,1,abc,abc,A wireless development kit for IoT.,$30,TRUE,15,NULL,NULL,"[Null,Null]"
STM32F103C8T6A BluePills,1,abc,abc,A cheap and powerful microcontroller board.,$3,TRUE,15,NULL,NULL,"[Null,Null]"
XBee module,1,abc,abc,A module for creating wireless communication.,$25,TRUE,15,NULL,NULL,"[Null,Null]"
Heltech Lora32,1,abc,abc,A LoRa and WiFi enabled microcontroller.,$20,TRUE,15,NULL,NULL,"[Null,Null]"
Soldering Station Parts,1,abc,abc,Essential tools for soldering electronic components.,$40,TRUE,15,NULL,NULL,"[Null,Null]"
ZYNQ UltraScale + FPGA,1,abc,abc,A high-performance FPGA for AI and hardware acceleration.,"$2,000",TRUE,15,NULL,NULL,"[Null,Null]"
Kamvas 16 Creative Pen Display,1,abc,abc,A pen display for creative work and design.,$400,TRUE,15,NULL,NULL,"[Null,Null]"
IoT Lab Kits,1,abc,abc,A collection of various IoT components and modules.,$100,TRUE,15,NULL,NULL,"[Null,Null]"
Raspberry Pi 4 Model B,1,abc,abc,A single-board computer for versatile applications.,$55,TRUE,15,NULL,NULL,"[Null,Null]"
Arduino Uno,1,abc,abc,A popular microcontroller board.,$22,TRUE,15,NULL,NULL,"[Null,Null]"
NVIDIA Jetson AGX Xavier Developer Kit,1,abc,abc,For high-performance AI applications.,$700,TRUE,15,NULL,NULL,"[Null,Null]"
Google Coral Dev Board,1,abc,abc,For running TensorFlow models at the edge.,$150,TRUE,15,NULL,NULL,"[Null,Null]"
Adafruit Feather HUZZAH ESP8266,1,abc,abc,For WiFi-enabled IoT projects.,$16,TRUE,15,NULL,NULL,"[Null,Null]"
Grove Starter Kit for IoT,1,abc,abc,For prototyping and learning IoT concepts.,$50,TRUE,15,NULL,NULL,"[Null,Null]"
Microsoft Azure IoT Developer Kit,1,abc,abc,For IoT solutions using Azure Cloud.,$40,TRUE,15,NULL,NULL,"[Null,Null]"
Ubiquiti UniFi series,1,abc,abc,For network management in IoT environments.,$150,TRUE,15,NULL,NULL,"[Null,Null]"
Particle Photon,1,abc,abc,For IoT projects with a built-in Wi-Fi module.,$20,TRUE,15,NULL,NULL,"[Null,Null]"
Flir Lepton Thermal Camera Module,1,abc,abc,For integrating thermal imaging.,$200,TRUE,15,NULL,NULL,"[Null,Null]"
BeagleBone Black,1,abc,abc,As an alternative to Raspberry Pi.,$55,TRUE,15,NULL,NULL,"[Null,Null]"
Bosch XDK 110,1,abc,abc,For creating prototypes of IoT devices.,$180,TRUE,15,NULL,NULL,"[Null,Null]"
Tinkerforge Sensors Kit,1,abc,abc,A wide range of sensors for IoT projects.,$80,TRUE,15,NULL,NULL,"[Null,Null]"
Husarion CORE2-ROS,1,abc,abc,For building robots and IoT devices.,$90,TRUE,15,NULL,NULL,"[Null,Null]"
UDOO X86 II,1,abc,abc,A powerful single-board computer for IoT and AI.,$260,TRUE,15,NULL,NULL,"[Null,Null]"
Amazon DeepLens,1,abc,abc,A deep learning-enabled video camera for developers.,$250,TRUE,15,NULL,NULL,"[Null,Null]"
RPLIDAR A1 360 Degree Laser Scanner Kit,1,abc,abc,For robotic applications.,$100,TRUE,15,NULL,NULL,"[Null,Null]"
SparkFun Inventor's Kit,1,abc,abc,For learning electronics and programming.,$100,TRUE,15,NULL,NULL,"[Null,Null]"
Mycroft Mark II,1,abc,abc,An open-source voice assistant.,$130,TRUE,15,NULL,NULL,"[Null,Null]"
Seeed Studio ReSpeaker Core v2.0,1,abc,abc,For developing voice-enabled products.,$80,TRUE,15,NULL,NULL,"[Null,Null]"
M5Stack ESP32 Development Kit,1,abc,abc,For creating modular IoT applications.,$35,TRUE,15,NULL,NULL,"[Null,Null]"
Pixy2 Smart Vision Sensor,1,abc,abc,For object recognition in robotics.,$60,TRUE,15,NULL,NULL,"[Null,Null]"
Sonoff Smart Home Automation Modules,1,abc,abc,For home automation projects.,$15,TRUE,15,NULL,NULL,"[Null,Null]"
Brick’R’knowledge Basic Set,1,abc,abc,For easy electronics prototyping.,$90,TRUE,15,NULL,NULL,"[Null,Null]"
JetBot AI Kit powered by NVIDIA Jetson Nano,1,abc,abc,For AI-based robot development.,$400,TRUE,15,NULL,NULL,"[Null,Null]"
Octoprint Kit,1,abc,abc,For 3D printer monitoring and management.,$50,TRUE,15,NULL,NULL,"[Null,Null]"
Omega2+ IoT Computer,1,abc,abc,For IoT projects with Linux.,$20,TRUE,15,NULL,NULL,"[Null,Null]"
Smart Agriculture IoT Vertical Kit,1,abc,abc,For agricultural applications.,$250,TRUE,15,NULL,NULL,"[Null,Null]"
IoT Long Range Wireless Temperature and Humidity Sensor,1,abc,abc,For environmental monitoring.,$80,TRUE,15,NULL,NULL,"[Null,Null]"
Dragino LoRa GPS Hat for Raspberry Pi,1,abc,abc,For GPS-based applications.,$30,TRUE,15,NULL,NULL,"[Null,Null]"
